操作数
1821007
4, 54
5, 306
6, 37
7, 12
10, 61
11, 143
13, 12
14, 175
15, 1
19, 141
20, 287
21, 128
22, 12
24, 48
25, 91
26, 69
27, 63
28, 139
29, 84
32, 48
1821009
4, 85
5, 189
6, 114
7, 40
8, 1
9, 1
10, 61
11, 95
13, 77
14, 74
15, 128
16, 20
17, 1
18, 3
19, 188
20, 75
21, 95
22, 81
23, 86
24, 200
25, 109
26, 7
27, 84
28, 199
29, 43
32, 46
1821014
4, 111
5, 214
6, 95
7, 84
9, 55
10, 79
11, 14
12, 1
13, 87
14, 125
15, 113
16, 102
17, 1
19, 175
20, 120
21, 163
22, 45
23, 1
24, 145
25, 136
27, 69
28, 315
29, 105
30, 80
31, 3
1821016
1, 0
3, 0
4, 64
5, 150
6, 94
7, 30
8, 9
9, 1
10, 41
11, 49
12, 22
13, 51
14, 65
15, 117
16, 50
17, 1
18, 11
19, 130
20, 126
21, 103
22, 55
23, 25
24, 50
25, 84
26, 1
27, 129
28, 371
29, 66
1821026
3, 14
4, 125
5, 307
6, 120
7, 39
8, 3
9, 3
10, 149
11, 94
12, 1
13, 71
14, 94
15, 137
16, 9
17, 1
18, 67
19, 100
20, 108
21, 76
22, 77
28, 242
27, 81
23, 86
24, 92
25, 77
26, 1
29, 307
32, 5
1821028
1, 0
5, 270
7, 172
9, 29
10, 43
11, 140
12, 8
13, 142
14, 112
15, 75
16, 134
17, 41
18, 3
19, 86
20, 64
21, 109
22, 35
23, 2
24, 64
25, 87
27, 152
28, 230
29, 76
1821045
11, 217
7, 156
12, 115
5, 235
14, 217
15, 125
6, 234
19, 234
4, 28
22, 126
28, 303
23, 115
20, 211
10, 18
25, 68
24, 141
26, 56
27, 117
13, 67
29, 174
31, 6
1821058
1, 0
4, 31
5, 123
6, 178
7, 43
8, 0
9, 0
10, 51
11, 77
12, 0
13, 58
14, 80
15, 186
17, 2
18, 1
19, 96
20, 69
21, 61
22, 32
23, 3
24, 85
25, 89
26, 1
27, 80
28, 431
29, 44
1821066
22, 0
24, 80
27, 190
28, 199
29, 20
32, 77
1821071
3, 4
4, 68
5, 199
6, 220
7, 87
8, 1
9, 1
10, 37
11, 59
12, 1
13, 59
14, 64
15, 109
16, 1
17, 1
19, 99
20, 83
21, 88
22, 129
23, 5
24, 110
25, 65
26, 16
27, 66
28, 79
29, 137
1, 0
1821080
4, 53
5, 237
6, 80
10, 68
11, 65
13, 49
14, 59
15, 37
19, 172
20, 116
21, 126
22, 42
24, 7
25, 193
27, 65
28, 162
29, 0
32, 35
1821085
1, 0
4, 60
5, 222
6, 82
7, 30
9, 0
10, 39
11, 66
13, 58
14, 71
15, 103
17, 0
19, 100
20, 185
21, 249
22, 39
24, 54
25, 108
27, 181
28, 236
29, 84
30, 0
1821086
4, 0
5, 400
7, 205
8, 3
11, 193
13, 5
15, 220
19, 252
21, 313
23, 90
24, 3
27, 252
28, 239
29, 135
25, 1
12, 23
26, 15
1821096
4, 74
5, 251
6, 108
7, 12
10, 231
11, 93
13, 83
14, 94
15, 133
16, 9
19, 147
20, 120
21, 161
22, 120
23, 10
24, 101
25, 117
27, 120
26, 7
28, 229
29, 45
31, 23
1821097
5, 43
4, 27
6, 45
10, 19
7, 8
9, 3
11, 18
13, 8
14, 23
15, 21
16, 0
17, 0
18, 52
19, 24
20, 85
21, 151
31, 0
23, 26
22, 0
24, 32
25, 17
27, 27
28, 302
29, 23
32, 17
1821102
5, 195
4, 65
6, 122
7, 55
8, 1
9, 3
10, 109
11, 81
12, 3
13, 114
14, 123
15, 149
16, 1
17, 1
19, 126
20, 101
21, 239
27, 182
28, 410
22, 138
24, 194
25, 1
29, 38
31, 59
1821104
1, 0
3, 8
4, 64
5, 191
6, 98
7, 46
9, 2
10, 59
11, 76
12, 1
13, 57
14, 72
15, 163
16, 7
17, 1
19, 91
20, 107
21, 55
22, 80
23, 4
24, 47
25, 136
27, 167
28, 65
30, 77
29, 139
1821120
1, 0
3, 16
4, 139
5, 261
6, 156
7, 54
8, 77
9, 1
10, 24
11, 48
12, 76
13, 79
14, 132
15, 146
18, 119
16, 12
17, 3
19, 129
20, 91
21, 171
23, 102
24, 127
25, 155
26, 93
27, 48
28, 177
29, 69
30, 34
1821121
1, 0
3, 2
4, 76
5, 231
6, 120
7, 48
8, 1
9, 1
10, 47
11, 110
12, 10
13, 112
14, 99
15, 117
16, 9
17, 1
19, 101
18, 2
20, 143
21, 103
22, 93
24, 82
23, 40
25, 118
26, 5
27, 203
28, 407
29, 168
30, 83
32, 11
1821133
4, 152
5, 249
7, 86
11, 64
14, 72
6, 83
10, 61
13, 25
15, 104
20, 99
21, 102
23, 47
25, 63
28, 179
29, 53
1821136
4, 70
5, 114
6, 85
7, 78
8, 13
11, 80
13, 90
14, 197
15, 77
19, 181
20, 188
21, 87
25, 175
24, 27
27, 226
26, 73
28, 168
1821142
1, 0
3, 2
4, 69
5, 196
6, 106
7, 59
8, 11
9, 1
10, 59
11, 81
12, 1
13, 55
14, 100
15, 156
16, 11
17, 3
18, 1
19, 95
20, 230
21, 197
22, 88
23, 5
24, 92
25, 144
27, 92
28, 122
30, 32
29, 64
32, 28
1821150
4, 68
5, 176
6, 49
7, 129
10, 152
11, 77
13, 34
14, 116
15, 81
19, 143
20, 198
21, 211
22, 10
24, 78
23, 21
25, 156
26, 1
27, 153
28, 203
32, 30
1821158
4, 74
5, 546
6, 97
7, 98
13, 107
11, 201
14, 150
15, 218
19, 185
20, 139
21, 139
22, 1
24, 238
1821159
4, 96
5, 207
10, 225
6, 5
7, 41
20, 177
11, 98
13, 85
14, 112
15, 131
16, 1
17, 1
18, 1
19, 2
21, 403
22, 51
23, 18
25, 200
26, 8
27, 117
1, 75
28, 152
31, 35
29, 150
1821162
5, 197
4, 83
6, 166
7, 2
9, 37
10, 47
11, 89
12, 4
13, 67
14, 88
15, 127
16, 7
19, 100
20, 61
21, 114
22, 66
24, 2
25, 180
27, 66
28, 69
