操作数
1821012,,1821066,,1821077,,1821080,,1821086,,1821088,,1821099,,1821104,,1821148,,1821152,,1821166,,
 , , , , , , , , , ,16:11:41,22, , , , , , , , ,15:58:28,19,
 , , , , , , , , , ,16:14:09,23, , , , , , , , ,15:59:04,19,
 , , , , , , , , , ,16:16:02,24, , , , , , , , ,16:00:43,19,
 , , , , , , , , , ,16:17:18,25, , , , , , , , ,16:05:08,20,
 , , , , , , , , , ,16:20:23,25, , , , , , , , ,16:05:29,21,
 , , , , , , , , , , , , , , , , , , , ,16:05:37,20,
 , , , , , , , , , , , , , , , , , , , ,16:07:11,21,
 , , , , , , , , , , , , , , , , , , , ,16:08:34,24,
 , , , , , , , , , , , , , , , , , , , ,16:09:09,24,
 , , , , , , , , , , , , , , , , , , , ,16:09:21,22,
 , , , , , , , , , , , , , , , , , , , ,16:09:44,23,
 , , , , , , , , , , , , , , , , , , , ,16:10:02,24,
 , , , , , , , , , , , , , , , , , , , ,16:10:33,24,
 , , , , , , , , , , , , , , , , , , , ,16:11:08,22,
 , , , , , , , , , , , , , , , , , , , ,16:11:50,22,
 , , , , , , , , , , , , , , , , , , , ,16:12:15,23,
 , , , , , , , , , , , , , , , , , , , ,16:13:15,24,
 , , , , , , , , , , , , , , , , , , , ,16:13:43,21,
 , , , , , , , , , , , , , , , , , , , ,16:13:54,24,
 , , , , , , , , , , , , , , , , , , , ,16:14:14,23,
 , , , , , , , , , , , , , , , , , , , ,16:14:45,24,
 , , , , , , , , , , , , , , , , , , , ,16:15:29,20,
 , , , , , , , , , , , , , , , , , , , ,16:15:36,24,
 , , , , , , , , , , , , , , , , , , , ,16:15:46,25,
 , , , , , , , , , , , , , , , , , , , ,16:19:16,25,
 , , , , , , , , , , , , , , , , , , , ,16:19:56,14,
 , , , , , , , , , , , , , , , , , , , ,16:20:30,14,
 , , , , , , , , , , , , , , , , , , , ,16:20:41,25,
 , , , , , , , , , , , , , , , , , , , , , ,
