操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1721027,欠,1,1,1,1,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8,8,9,9,9,9,9,9,9,11,11,12,13,10,12,13,13,13,14,13,14,14,14,15,11,15,16,16,16,17,16,17,17,17,17,17,11,18,11,18,18,19,19,19,19,19,20,20,20,21,21,20,22,22,22,23,23,24,25,24,24,24,25,24,25,25,25,25,25,25,17,欠,
1821001,欠,欠,欠,1,1,3,3,3,4,5,5,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,14,15,15,15,15,16,17,12,14,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,20,20,20,21,20,20,22,22,22,22,24,19,24,24,25,25,24,25,25,25,25,25,25,欠,欠,
1821002,欠,欠,欠,欠,4,4,5,5,5,5,5,6,6,7,7,8,8,8,8,8,8,8,10,10,10,11,11,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,15,15,欠,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,20,20,20,20,21,22,22,22,22,23,23,24,24,22,23,24,24,24,24,24,24,25,25,25,25,欠,欠,欠,
1821004,欠,欠,欠,欠,欠,1,4,4,4,5,5,6,6,6,7,8,8,8,7,8,9,10,10,10,10,10,10,11,11,12,12,12,12,12,12,13,14,14,14,14,14,14,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,20,21,22,22,22,22,22,22,23,23,25,25,25,25,25,24,24,24,24,25,25,25,24,欠,欠,
1821005,欠,欠,欠,4,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,12,13,13,13,14,14,14,14,14,14,15,15,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,20,20,20,22,22,22,22,22,24,24,24,25,19,21,25,25,25,25,25,25,25,25,欠,欠,欠,
1821006,欠,8,1,欠,1,1,4,4,4,5,5,6,6,7,7,7,7,8,8,8,8,8,9,10,10,10,10,11,11,12,12,12,12,12,13,13,13,14,11,10,14,14,15,15,15,16,16,16,17,17,17,17,17,17,18,18,18,17,18,18,18,19,19,19,19,20,20,21,21,22,22,22,22,22,23,23,25,25,24,24,24,24,25,25,25,25,25,25,欠,18,欠,
1821007,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,4,4,6,7,7,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,12,13,13,13,14,14,14,14,14,14,14,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,18,18,19,18,19,19,19,19,19,20,21,21,22,22,22,22,22,23,23,23,23,24,24,24,24,24,24,24,24,24,25,24,欠,
1821009,欠,欠,欠,4,4,4,4,4,4,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,10,11,11,11,12,12,12,12,13,13,13,14,10,14,14,14,14,15,15,17,17,16,15,17,17,17,17,17,18,17,18,18,19,19,19,19,19,19,19,20,20,20,20,22,22,22,22,22,23,23,24,21,24,20,25,25,24,24,25,25,23,12,12,12,欠,
1821012,4,4,4,4,4,4,4,4,5,6,6,7,7,7,7,8,8,8,8,8,8,10,10,10,10,11,11,11,11,12,13,13,13,13,14,12,14,14,14,14,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,20,20,21,21,22,22,22,22,23,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821014,欠,欠,欠,欠,欠,欠,欠,5,4,5,5,5,6,7,7,7,7,8,8,8,9,9,9,10,10,10,10,11,11,11,12,12,12,12,12,13,13,13,13,14,11,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,19,19,19,19,19,20,20,21,21,21,21,18,22,23,23,23,24,24,18,25,25,24,24,25,25,25,25,25,欠,欠,
1821016,1,1,1,1,4,4,4,4,5,5,6,6,6,6,7,7,8,8,8,8,10,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,11,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,20,20,20,22,22,22,22,22,22,24,25,25,24,24,24,24,24,24,25,25,25,25,25,24,欠,欠,
1821020,3,3,3,欠,4,欠,4,4,4,5,5,6,7,7,7,7,8,8,8,8,8,9,9,9,10,10,10,11,11,11,12,13,12,12,13,13,13,14,14,14,12,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,14,11,18,18,19,19,19,19,20,20,20,21,21,20,20,22,20,23,23,24,24,24,25,25,25,24,25,24,25,25,25,25,25,欠,
1821021,欠,8,10,13,13,4,5,5,欠,7,7,7,7,7,8,8,8,8,9,10,10,10,9,11,10,10,11,11,12,12,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,24,24,24,24,24,24,19,19,19,20,22,25,25,15,欠,欠,欠,
1821026,1,1,1,2,4,4,4,4,4,5,5,6,6,6,7,7,7,8,9,9,9,9,9,10,10,10,10,11,11,6,12,12,12,12,13,13,13,14,14,14,14,14,14,14,15,16,16,16,17,17,17,17,5,17,17,18,18,18,18,18,19,19,19,19,20,20,20,21,25,24,24,欠,22,22,24,24,24,24,25,25,25,25,25,25,25,25,25,欠,25,欠,欠,
1821028,欠,欠,2,2,2,3,3,3,4,6,6,6,6,7,8,8,8,8,欠,欠,8,9,9,9,10,10,10,11,11,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,1,1,1,17,欠,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,22,20,24,24,24,24,24,20,22,25,22,21,21,欠,欠,欠,
1821029,1,4,4,4,4,4,5,5,5,6,6,7,7,7,7,8,8,8,8,10,10,10,10,10,11,11,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,19,19,20,20,20,21,21,22,22,22,22,23,23,24,24,24,24,24,24,25,24,24,25,25,25,25,25,25,25,欠,
1821032,欠,欠,欠,欠,欠,欠,1,1,4,4,4,6,7,7,7,8,8,8,8,11,11,11,11,11,11,11,10,11,12,12,12,14,14,14,14,14,14,14,14,14,14,15,15,欠,17,19,16,16,16,16,16,17,17,17,17,17,19,19,19,19,19,19,19,19,19,20,20,20,20,21,22,22,22,25,23,24,24,15,8,24,24,9,24,25,25,25,25,欠,欠,欠,欠,
1821033,1,1,4,4,5,4,4,4,5,7,5,6,6,6,7,7,7,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,13,13,13,10,14,14,14,14,15,15,15,16,16,16,17,17,17,17,17,17,19,18,18,11,18,18,19,19,19,19,19,20,20,20,21,22,25,22,23,23,23,25,24,16,19,24,24,24,24,25,25,25,25,欠,欠,欠,欠,
1821034,3,3,3,3,3,5,5,4,6,6,6,6,6,7,8,8,8,9,9,9,9,9,9,10,11,11,11,11,11,11,12,12,12,13,13,13,13,12,13,14,14,14,15,15,16,16,16,17,17,17,欠,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,20,20,21,21,21,22,22,22,23,23,23,20,24,24,24,25,24,25,25,25,25,25,20,10,欠,
1821035,4,4,4,4,4,4,5,5,5,5,6,7,7,7,7,8,8,8,9,9,9,9,10,10,11,11,11,11,11,12,13,13,13,13,13,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,19,20,20,21,21,22,22,22,22,23,23,23,24,14,16,25,25,24,24,24,25,25,25,25,25,欠,欠,欠,
1821039,1,1,1,1,1,欠,5,5,5,5,5,7,7,7,8,8,8,8,8,8,8,8,10,10,10,11,11,11,11,12,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,16,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,20,20,20,22,22,22,22,22,22,24,24,24,25,24,24,24,24,24,25,25,25,25,25,25,25,欠,
1821040,4,4,4,4,4,4,5,5,5,6,6,7,7,7,8,8,8,9,10,10,10,10,10,10,11,11,11,11,11,12,13,13,13,13,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,18,17,17,18,18,18,18,19,19,19,19,19,20,20,20,20,22,22,22,22,22,23,23,24,24,24,24,24,24,24,24,24,25,25,欠,欠,欠,欠,欠,欠,
