操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821028,欠,欠,2,0,0,1,0,0,2,5,0,0,4,3,4,0,0,5,欠,欠,1,0,0,0,5,0,0,4,5,0,3,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,欠,11,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,15,6,4,0,0,0,0,8,5,3,10,5,7,欠,欠,欠,
1821029,2,0,2,0,1,1,2,0,0,1,0,4,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,1,0,2,8,1,0,0,0,0,10,1,0,0,0,0,0,3,0,0,0,0,3,1,2,5,5,14,4,0,0,0,2,0,0,2,2,4,0,0,5,0,0,0,0,0,1,0,0,3,0,0,1,0,6,2,1,10,1,0,22,23,16,1,欠,
1821032,欠,欠,欠,欠,欠,欠,0,0,2,0,0,8,2,0,4,2,0,0,8,2,0,0,0,0,0,0,2,5,6,0,2,0,0,0,1,0,0,0,0,0,3,3,0,欠,6,4,6,0,0,0,0,2,7,3,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,12,2,0,4,11,4,5,0,0,0,4,2,0,1,4,7,1,2,欠,欠,欠,欠,
1821033,0,0,5,3,8,10,0,0,1,2,0,3,0,0,6,0,0,5,1,0,0,0,0,18,4,0,0,5,0,3,1,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,2,1,8,5,1,1,0,0,0,7,0,7,0,3,0,0,1,13,12,1,4,11,6,20,6,1,3,1,0,0,0,0,0,7,1,5,1,0,欠,欠,欠,欠,
1821034,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,0,4,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,2,0,2,0,2,8,2,0,0,1,1,0,0,0,1,0,0,欠,3,6,5,2,2,3,0,0,1,0,0,0,2,2,0,2,0,2,0,0,0,0,1,2,0,0,2,2,0,0,3,2,0,1,1,2,0,0,1,欠,
1821035,0,0,0,0,0,0,2,0,0,2,1,3,0,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,4,0,0,2,0,0,0,0,2,1,2,1,1,1,0,3,0,0,0,2,0,0,3,1,0,2,3,2,0,1,2,0,1,1,0,欠,欠,欠,
1821039,0,0,0,0,0,欠,8,0,3,1,3,6,0,0,6,0,0,7,0,0,0,0,2,0,4,0,0,4,5,1,3,1,0,0,2,0,0,0,0,7,4,1,9,1,0,6,3,0,1,0,2,1,4,6,1,0,0,0,0,2,0,1,1,4,0,5,0,0,3,0,0,2,3,0,5,0,2,1,4,0,0,0,5,3,0,2,8,6,2,0,欠,
1821040,0,0,0,0,5,1,2,1,4,2,0,7,1,3,5,0,2,28,1,0,0,0,0,0,5,0,2,8,0,2,2,0,0,1,1,0,0,5,0,0,1,2,3,6,1,0,2,0,0,0,0,2,7,3,3,5,0,0,5,0,2,2,5,3,0,7,0,5,1,0,0,3,8,0,8,0,0,0,0,0,0,0,3,13,1,欠,欠,欠,欠,欠,欠,
1821045,欠,欠,欠,欠,28,6,2,0,2,1,4,4,0,0,5,0,1,6,0,0,0,0,0,0,4,0,0,7,3,2,0,0,0,0,3,0,0,3,2,1,0,6,0,4,2,0,0,0,2,5,7,4,6,2,11,3,4,0,3,0,3,0,2,2,0,3,2,2,2,0,0,2,3,0,5,0,4,3,9,10,3,11,1,0,1,3,1,4,1,0,欠,
1821054,0,0,0,0,7,0,0,3,0,5,0,3,0,0,5,0,2,6,0,0,0,0,0,0,9,0,0,5,6,1,1,0,0,0,1,0,0,4,0,0,0,0,1,9,0,0,0,0,3,1,2,1,3,1,4,0,0,0,1,0,1,0,1,3,1,7,1,1,1,0,0,2,2,0,3,0,9,5,5,0,0,0,6,0,1,4,欠,欠,欠,欠,欠,
1821055,0,0,0,0,0,0,4,0,0,0,0,8,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,4,7,1,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,6,2,0,3,3,0,4,1,3,0,3,0,0,7,0,5,0,2,7,1,2,2,1,4,2,1,5,2,0,欠,欠,
1821058,0,0,0,0,0,5,2,0,0,1,0,4,0,1,5,0,0,6,0,0,0,0,0,1,3,0,0,9,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,4,5,0,6,1,0,0,1,0,1,1,3,0,0,4,0,0,4,1,0,3,0,0,3,0,0,0,0,0,0,3,4,0,2,7,0,0,0,0,欠,
1821063,欠,欠,欠,欠,欠,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,2,6,7,6,0,0,0,欠,0,1,1,0,0,0,1,0,0,1,0,0,1,3,5,1,0,1,0,0,0,4,2,0,1,0,1,1,0,欠,欠,欠,
1821066,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821068,欠,欠,欠,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,1,2,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,1,0,2,2,1,4,1,3,1,0,0,1,2,4,欠,欠,欠,
1821071,0,0,0,0,0,0,2,0,7,4,1,2,0,1,5,0,9,欠,5,0,0,0,7,4,3,1,0,3,7,0,2,0,0,0,1,0,0,0,0,0,3,0,1,4,4,4,0,0,0,0,2,3,6,2,0,0,0,0,0,1,0,0,0,4,1,2,6,1,1,5,0,4,3,6,0,8,0,0,0,0,0,0,3,6,0,4,4,0,欠,欠,欠,
1821072,1,3,0,0,2,0,0,4,1,1,2,5,0,1,2,0,欠,欠,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,2,0,0,0,2,2,0,0,4,3,2,6,0,0,1,0,4,2,4,1,0,1,1,3,2,3,0,0,2,0,0,0,1,0,1,1,2,0,20,15,4,3,9,1,7,5,4,3,2,0,0,1,1,1,欠,欠,欠,
1821073,欠,欠,1,1,0,17,2,1,0,2,1,2,0,0,4,3,0,8,2,0,0,0,0,0,2,1,0,1,2,0,2,0,0,0,1,0,0,3,2,1,0,0,0,2,0,0,0,0,4,4,3,2,2,4,5,0,0,0,0,1,0,1,1,3,1,0,2,0,3,0,0,0,1,0,1,3,欠,欠,1,2,4,0,0,0,0,0,0,0,欠,欠,欠,
1821074,欠,欠,欠,欠,欠,欠,1,0,1,0,3,欠,0,0,欠,2,欠,欠,1,0,0,0,1,0,1,1,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,欠,欠,欠,2,1,0,0,0,1,2,0,0,3,0,0,0,4,0,0,7,0,0,3,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,欠,
1821075,欠,欠,欠,欠,欠,欠,3,0,0,3,0,0,欠,4,5,1,0,5,1,0,0,1,0,0,3,2,0,0,4,5,2,1,0,0,0,1,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,2,1,1,3,1,0,3,4,0,0,0,2,3,3,2,0,0,0,0,0,7,1,4,1,0,0,0,0,0,0,7,0,0,3,6,2,欠,欠,欠,
1821076,0,0,0,0,10,11,2,0,0,4,0,4,0,0,6,1,0,7,0,1,0,0,0,0,6,0,0,14,1,0,2,1,0,0,3,0,0,0,0,0,0,4,0,6,0,0,0,0,2,0,3,9,7,6,2,0,0,0,0,2,0,0,0,6,0,3,2,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,6,0,2,7,1,0,欠,欠,欠,
1821077,欠,欠,欠,欠,欠,0,2,0,0,1,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,3,4,0,0,0,4,0,1,0,0,0,0,6,欠,11,6,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821078,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,6,欠,20,2,6,0,0,0,0,3,14,欠,欠,33,8,4,0,0,2,0,1,0,0,0,0,0,0,0,欠,0,0,11,4,0,0,0,0,0,0,3,2,10,1,0,欠,0,0,0,0,7,14,0,9,0,0,0,0,0,6,5,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,
