時間
1229,1230,1231,1232,1233,1234,1235,1260,1261,1262,1263,1264,1265,1266,1267,1297,1298,1299,1300,1282,1283,1284,1285,1286,1287,1288,1294,1295,1296,1301,1303,1304,1305,1306,
1821045,-136,27,32,37,-63,43,46,78,87,-208,-233,11,26,21,33,-76,-121,-65,-26,-205,-200,-173,-169,-123,18,21,25,119,121,100,-49,-46,6,-55,
1821054,-175,-172,-151,-147,-130,-124,-72,-137,-120,-132,-249,-325,12,18,30,-128,-138,-142,-125,-316,-313,-310,-304,-287,-57,-52,-258,-76,-93,-100,-36,-35,-31,-43,
1821055,-312,-299,-293,-290,-282,-274,-258,-298,-54,-219,-129,-154,-84,-79,-72,-283,-223,-241,-227,23,30,27,36,65,135,138,146,153,163,166,-641,-636,-633,-629,
1821058,587115,587118,587122,587125,587127,587131,587138,585702,585708,585717,585720,585584,585588,585592,585595,584881,584884,584890,584893,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,584658,584660,584667,584671,584463,584466,584470,584472,
1821061,-135,-105,-99,-93,-68,-64,-51,45,60,77,110,39,49,62,72,30,33,43,48,103,105,106,108,108,109,110,95,96,96,96,-29,-22,-20,0,
1821063,-57,-55,-52,-49,-47,-45,-41,-259,-256,-251,-246,-378,-374,-372,-369,-148,-146,-143,-141,-356,-342,-339,-234,-271,-264,-261,-226,-224,-221,-220,-412,-412,-409,-408,
1821066,-4066,-4057,-4054,-4051,-4044,-4036,-4034,-5306,-5368,-5363,-5358,-5422,-5418,-5412,-5396,-6159,-6150,-6154,-6148,-6379,-6335,-6338,-6374,-6329,-6266,-6263,-6236,-6234,-6247,-6254,-6437,-6434,-6432,-6429,
1821068,-165,-158,-155,-144,-123,-122,-113,-177,-145,-98,-61,-169,-157,-151,-108,-164,-146,-142,-138,-285,-280,-264,-256,-236,-198,-191,-158,-85,-58,9,-164,-161,-158,-154,
1821071,23,-164,-159,-156,27,32,35,11,19,25,31,5,12,17,20,14,19,25,31,7,22,17,30,25,37,41,52,57,60,85,6,9,12,14,
1821072,-350,-344,-337,-311,-305,-301,-223,-289,-271,-325,-282,-322,-338,-346,-326,-515,-508,-485,-436,-626,-618,-610,-581,-598,-558,-555,-648,-525,-520,-514,-716,-709,-704,-702,
1821073,-967,-959,-953,-947,-936,-927,-923,-2122,-2111,-2104,-2096,-104,-94,-86,-67,-2611,-2602,-2593,-927,-1114,-1109,-1074,-1071,-1067,-935,-932,-1147,-1144,-1135,-1126,-1139,-1133,-1127,-1121,
1821074,-6077,-6072,-6063,-6052,-6028,-6023,-6018,-7306,-7233,-7220,-7208,-7276,-7270,-7262,-7241,-7217,-7209,-7202,-7196,-7374,-7227,-7226,-7322,-7221,-7217,-7204,-7394,-7391,-7386,-7385,-7406,-7363,-7361,-7397,
1821075,-360,8,13,17,19,24,28,13,36,45,52,30,36,39,42,130,142,147,194,12,26,15,19,21,29,32,35,38,41,42,35,44,51,39,
1821076,-176,-166,-163,-160,-158,-141,-138,60,65,73,76,29,37,45,52,16,20,24,27,38,41,43,35,45,49,52,23,25,28,30,-17,-13,-11,-6,
1821077,-179,-161,-158,-155,-146,-143,-121,-223,32,-162,36,30,38,45,52,-181,-174,-162,-158,-130,-127,-120,-105,-43,33,36,-35,-26,-8,15,-45,-18,-15,-9,
1821078,-5857,-5852,-5844,-5824,-5814,-5810,-5805,-7223,-7175,-7175,-7170,-7162,-7149,-7142,-7134,-7885,-7921,-7905,-7837,-8004,-7947,-7939,-7831,-7827,-7209,-7206,-8071,-8068,-8063,-8050,-7361,-7676,-7357,-7391,
1821079,558188,558192,558205,558211,558225,558231,558239,557091,557086,556946,556913,592987,593001,593014,593025,556390,556375,556326,556301,556245,591935,591941,591952,591970,592026,592030,556159,556182,556186,556190,591826,591828,591832,591845,
1821080,591373,591375,591378,591381,591385,591388,591391,590260,590264,590269,590272,590399,590402,590409,590412,590058,590060,590067,590076,589869,589873,589874,589877,589877,589880,589882,589855,589857,589859,589859,589681,589683,589685,589696,
1821081,-19,55,78,84,92,99,104,32,145,165,182,47,59,69,78,-319,-310,-305,-282,-480,-475,-468,-461,-454,-447,-442,-506,-499,-495,-493,164,167,174,182,
1821084,-96,-91,-86,-74,-14,164,170,-1018,-1012,-990,-986,-1107,-1088,-1079,-1075,-1553,-1550,-1542,-1537,-1733,-1731,-1730,-1728,-1726,-1723,-1720,-1771,-1765,-1760,-1745,-1798,-1795,-1791,-1778,
1821085,-179,-174,-171,-164,-159,-156,-149,-206,-201,-161,-141,-105,-115,16,-100,-135,13,-52,16,31,34,35,37,38,42,43,21,22,23,23,5,5,8,9,
1821086,420874,420876,420878,420880,420889,420891,420894,419461,419484,419491,419494,419359,419419,419426,419440,418607,418608,418613,418615,418416,418418,418420,418422,418423,418426,418428,418386,418388,418396,418404,418228,418228,418231,418234,
1821087,-179,-170,5,8,10,15,19,-15,6,9,13,7,12,20,19,-135,-132,-128,-121,-295,-291,-279,-279,-242,-228,-220,-195,-188,-126,-101,-17,-12,-7,-7,
1821088,589757,589762,589766,589783,589798,589803,589807,588568,588627,588618,588605,588576,588582,588566,588571,587939,587941,587951,587944,587733,587736,587741,587747,587762,587797,587803,587855,587867,587870,587871,587692,587697,587699,587703,
1821090,507817,507820,507827,507861,507867,507871,507883,506687,506626,506636,506643,506603,506610,506563,506569,506911,506931,506940,506950,506736,506746,506755,506761,506768,506780,506774,506791,506794,506796,506799,506612,506619,506615,506621,
1821093,-3996,-3980,-3977,-3974,-3968,-3962,-3958,-5316,-5303,-5300,-5293,-5414,-5418,-5298,-5283,-6079,-6076,-6072,-6062,-6293,-6290,-6288,-6284,-6250,-6245,-6243,-6241,-6237,-6234,-6232,-6441,-6439,-6436,-6434,
1821096,-184,-163,-146,-157,-132,-127,-119,-114,-110,-103,-95,9,27,41,51,-181,-150,-141,-11,-153,-130,-123,-62,-34,-2,7,42,52,62,86,-49,-45,-42,-37,
1821097,-220,-198,-192,-186,-172,-149,-143,-269,-254,-223,-251,16,37,-149,-147,-453,-504,-475,-431,-658,-586,-647,-638,-602,-534,-526,-448,-456,-472,-515,-647,-645,-642,-633,
1821098,546481,546496,546514,546531,546577,546583,546588,545699,545729,545739,545748,545663,545670,545685,545692,544994,544999,545009,545013,544823,544831,544833,544842,544843,544813,544849,544857,544861,544863,544864,544686,544699,544702,544705,
1821099,25621,25626,25630,25640,25646,25653,25655,24382,24405,24413,24423,24300,24308,24316,24324,23559,23564,23575,23580,23355,23359,23376,23382,23386,23410,23414,23487,23493,23496,23498,23319,23323,23328,23333,
1821101,-109,-103,-97,-92,-89,-84,-77,-62,-58,-21,-12,26,33,45,56,61,65,73,80,30,68,37,8,55,45,50,-147,-142,-139,-137,-13,-9,0,14,
