操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821028,1,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,7,7,8,4,6,8,欠,欠,9,9,9,9,9,10,11,11,欠,11,12,12,12,13,13,13,15,15,15,16,欠,17,17,欠,17,16,17,18,18,18,18,18,18,19,19,19,21,21,21,21,22,22,22,24,24,24,24,24,24,25,25,26,26,27,27,27,24,27,欠,20,22,欠,欠,
1821029,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,9,9,11,11,11,11,11,14,14,14,14,14,14,14,14,15,15,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,21,21,22,22,23,23,24,24,24,25,25,25,25,27,27,27,27,27,27,6,27,14,23,24,欠,欠,
1821032,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821033,3,3,3,3,3,4,4,3,3,4,4,5,5,5,4,4,6,6,6,7,7,7,8,8,3,6,6,8,9,9,9,9,10,10,11,11,11,11,12,13,13,13,13,14,14,15,15,16,16,17,13,欠,17,17,17,17,17,17,17,17,18,18,19,20,20,20,21,21,21,22,22,23,24,24,24,24,25,25,25,26,26,18,27,27,21,27,27,15,欠,欠,欠,
1821034,欠,欠,欠,欠,欠,欠,欠,欠,欠,4,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,7,8,9,9,9,9,9,9,10,11,12,12,12,12,13,13,13,13,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,22,20,19,24,24,欠,24,25,25,25,25,26,26,26,26,26,26,26,27,19,22,欠,欠,欠,
1821035,4,4,4,4,4,4,4,4,4,4,5,5,5,4,6,6,6,6,5,7,7,8,8,8,8,8,8,8,8,9,9,9,11,11,11,11,11,14,14,14,14,14,14,14,14,14,15,16,17,12,17,16,17,18,18,18,18,18,18,18,18,19,19,19,20,21,21,22,22,22,23,23,24,24,24,25,25,25,22,23,27,27,25,27,25,25,27,27,27,27,欠,
1821039,欠,欠,欠,欠,欠,2,2,2,2,4,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,9,9,10,11,11,11,11,14,14,14,14,14,14,14,14,15,15,15,16,16,12,17,17,17,欠,18,18,18,18,18,18,18,19,19,20,20,21,21,22,22,22,23,23,23,24,24,25,25,21,27,27,27,24,24,24,27,27,27,27,27,27,27,欠,
1821040,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821041,欠,欠,欠,欠,欠,欠,欠,4,4,4,4,5,5,4,4,6,6,6,6,7,7,7,7,8,7,7,8,8,8,9,9,9,10,10,10,11,11,11,11,13,13,13,13,13,14,15,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,19,20,20,21,21,21,22,22,23,23,24,24,24,25,25,25,26,26,27,27,24,24,27,27,27,27,27,欠,欠,
1821045,欠,欠,欠,欠,欠,欠,欠,欠,3,4,4,4,5,5,4,4,6,6,6,6,7,7,7,8,8,8,8,8,8,8,9,9,10,10,10,11,12,11,12,12,13,13,13,13,14,15,15,15,16,17,18,17,11,10,17,17,17,17,17,17,17,18,19,19,20,20,21,21,21,22,22,23,24,24,24,24,25,27,27,27,27,27,27,27,27,22,27,27,27,欠,欠,
